well_id,combined_total_anomalies,total_readings,iot_reliability_percent
W0001,663,8643,92.32905241235682
W0002,8598,8628,0.3477051460361591
W0003,599,8636,93.06391848077814
W0004,8589,8620,0.3596287703016232
W0005,663,8611,92.30054581349437
W0006,746,8641,91.3667399606527
W0007,734,8629,91.49379997682234
W0008,623,8615,92.76842716192687
W0009,719,8639,91.6772774626693
W0010,1625,8627,81.1637881071056
W0011,8594,8638,0.5093771706413563
W0012,8600,8615,0.17411491584445882
W0013,8544,8644,1.1568718186025007
W0014,839,8628,90.27584608252201
W0015,699,8648,91.91720629047178
W0016,673,8629,92.2007185073589
W0017,1671,8628,80.63282336578581
W0018,777,8633,90.99965249623537
W0019,1941,8647,77.55290852318724
W0020,1916,8631,77.80095006372379
W0021,742,8622,91.39410809556946
W0022,565,8627,93.45079401877825
W0023,649,8630,92.47972190034763
W0024,701,8623,91.87057868491245
W0025,703,8626,91.85022026431719
W0026,647,8640,92.51157407407408
W0027,770,8630,91.07763615295481
W0028,596,8618,93.08424228359247
W0029,8585,8601,0.18602488082780644
W0030,571,8640,93.39120370370371
W0031,8587,8638,0.5904144477888451
W0032,8585,8621,0.41758496694118685
W0033,887,8630,89.72190034762455
W0034,523,8645,93.95026026604974
W0035,677,8649,92.17250549196439
W0036,8571,8614,0.49918736939865704
W0037,2278,8607,73.53317067503195
W0038,8596,8621,0.28998956037582513
W0039,496,8620,94.24593967517401
W0040,698,8618,91.90067300997912
