well_id,site_id,month,boe_rate,operating_cost,temperature,pressure
W0022,S001,2025-08-01,513.3567833333334,20020.04,190.53554963768116,6265.276557971014
W0022,S001,2025-09-01,511.7201983333333,16913.553333333333,202.4129561594203,6307.488296711682
W0022,S001,2025-10-01,500.64825107526883,16527.73,209.7473065233329,6573.116896369905
W0022,S001,2025-11-01,491.50518305555556,16271.1185,200.69077503019324,6441.357253304394
W0022,S001,2025-12-01,488.05062043010753,16143.408709677418,188.84542913000976,6397.267940116452
W0022,S001,2026-01-01,476.30652016129034,15837.87370967742,194.56881968528197,6011.642337163713
W0022,S001,2026-02-01,465.2577166666666,15487.934285714286,191.60234239718616,6203.955870506305
W0022,S001,2026-03-01,458.04584731182797,15198.71064516129,192.3035949200986,6535.268712062773
W0022,S001,2026-04-01,440.2411175,14631.194833333333,199.32396421826965,6431.656083094533
W0022,S001,2026-05-01,442.7727817204301,14659.773709677418,204.20990564834884,6308.036521008649
W0022,S001,2026-06-01,442.36581888888884,14715.083166666667,195.34509142512076,6272.326022911177
W0022,S001,2026-07-01,424.42319946236563,14115.003870967741,203.15432991733607,6492.444710144927
W0022,S001,2026-08-01,420.8068737179487,14124.694615384615,203.3000990454292,6194.5635739618165
W0026,S001,2025-08-01,579.5029466666667,22616.235999999997,240.76258876811593,6745.737793115943
W0026,S001,2025-09-01,582.5640916666667,19260.530833333334,227.67186677097058,6486.144352566425
W0026,S001,2025-10-01,575.8026674731183,19019.855,233.22375635158437,6877.23523627947
W0026,S001,2025-11-01,563.9269711111111,18675.180666666667,230.06014423583662,6661.661863213658
W0026,S001,2025-12-01,556.0657322580645,18391.308387096775,218.3391001344086,6655.472779166135
W0026,S001,2026-01-01,537.6764137096774,17801.47693548387,235.8975565392707,6321.579360331931
W0026,S001,2026-02-01,528.3879270833334,17530.676785714288,219.8154457139328,6357.503209710515
W0026,S001,2026-03-01,517.1093005376343,17167.60177419355,228.34844585139615,6651.242126781616
W0026,S001,2026-04-01,511.09541583333333,17123.330666666665,234.9676622117918,6636.568379795235
W0026,S001,2026-05-01,503.1700688172043,16641.676774193547,222.82516485507244,6990.545909383102
W0026,S001,2026-06-01,500.6268961111111,16649.010166666667,220.70133354468598,6581.473551690821
W0026,S001,2026-07-01,489.04736693548386,16223.934193548388,231.36775726762718,6486.560955411407
W0026,S001,2026-08-01,482.4582753205128,16186.632692307692,234.3702084726867,6520.8558718772165
W0030,S001,2025-08-01,621.69298,24243.685999999998,197.050275,6303.685960144928
W0030,S001,2025-09-01,608.94763,20127.655833333334,202.94510078502415,6743.203724456523
W0030,S001,2025-10-01,611.0120357526881,20175.196774193548,200.12510726390835,6296.027116478601
W0030,S001,2025-11-01,589.9501027777777,19524.54033333333,204.64294930555556,6409.363544631094
W0030,S001,2025-12-01,583.9729809139785,19313.52806451613,216.22870415497897,6267.161779540674
W0030,S001,2026-01-01,563.5429922043011,18639.30693548387,210.77070601704278,6326.611729400421
W0030,S001,2026-02-01,565.5769273809524,18814.441785714287,201.76157194616977,6374.8167898786
W0030,S001,2026-03-01,541.1928559139785,17951.456451612903,199.21992109736922,6351.276628272557
W0030,S001,2026-04-01,535.7915336111112,17799.302166666665,201.5359582976504,6737.358411047981
W0030,S001,2026-05-01,528.075801344086,17535.71709677419,213.4911009073909,6171.388971824284
W0030,S001,2026-06-01,518.8453236111111,17251.002166666665,204.86958408816423,6332.691644546004
W0030,S001,2026-07-01,510.8428919354839,16967.859677419354,215.39159601449276,6434.183274427302
W0030,S001,2026-08-01,506.5663935897436,16994.286153846155,220.9689977576771,6771.968493304702
W0034,S001,2025-08-01,536.4897033333334,20915.732,197.8832,6019.913757608696
W0034,S001,2025-09-01,544.2931588888889,18037.913500000002,208.0923185907993,6051.284807958074
W0034,S001,2025-10-01,517.7990408602151,17105.307741935485,202.17658695652173,6892.677443516512
W0034,S001,2025-11-01,509.18077944444445,16859.508333333335,201.77670363965746,6211.482769099379
W0034,S001,2025-12-01,508.5775919354839,16817.510967741935,196.34474897542847,6109.833524310426
W0034,S001,2026-01-01,491.6073360215054,16277.58693548387,196.64898492551745,6707.06845132868
W0034,S001,2026-02-01,487.48191011904765,16216.842857142856,196.31848495729812,6684.850086133069
W0034,S001,2026-03-01,469.2040419354839,15630.626451612903,195.47527551638402,7136.8573562518595
W0034,S001,2026-04-01,464.99239,15446.1865,202.87013099198506,6437.666206263724
W0034,S001,2026-05-01,457.4058733870968,15163.615,209.06548673445536,6150.8910588183735
W0034,S001,2026-06-01,448.3412294444444,14904.744666666666,194.64232240338163,6220.138442473649
W0034,S001,2026-07-01,439.2453435483871,14601.450967741936,201.7045818564325,6108.3266364327
W0034,S001,2026-08-01,436.2729096153846,14581.395,194.6194375,6336.298613440003
W0035,S001,2025-08-01,677.14953,26390.609999999997,208.253734057971,7614.831556884058
W0035,S001,2025-09-01,671.8787222222222,22200.364333333335,212.43886385869564,6410.438048910691
W0035,S001,2025-10-01,657.5874112903225,21695.28516129032,220.18839387564282,6814.315978074929
W0035,S001,2025-11-01,647.4240822222222,21432.944,216.68867653554173,6462.492721024687
W0035,S001,2025-12-01,625.7183543010754,20691.643548387096,213.38339510285178,6387.9605008765775
W0035,S001,2026-01-01,610.9523349462365,20304.656774193547,226.62859580198904,6404.353201310086
W0035,S001,2026-02-01,591.1054360119048,19664.905357142856,213.83260082874554,6656.71619815488
W0035,S001,2026-03-01,595.895989516129,19809.20661290323,228.47428563156103,7379.841983052828
W0035,S001,2026-04-01,589.4282022222221,19584.985999999997,224.42655434782608,6467.7786357597715
W0035,S001,2026-05-01,584.2921403225806,19337.832580645165,210.49704340312562,6619.4026525245445
W0035,S001,2026-06-01,566.5816413888889,18847.465833333332,210.361940598924,6432.990023067632
W0035,S001,2026-07-01,560.864467204301,18625.814677419356,217.54534768795952,6319.18555063698
W0035,S001,2026-08-01,538.4070080128205,18068.0275,209.1293494919935,6904.082703630155
