well_id,month,oil_rate_forecast
W0016,2026-09-01,15.61873156156385
W0016,2026-10-01,15.209684067860247
W0016,2026-11-01,14.808499120420116
W0016,2026-12-01,14.439529446435136
W0016,2027-01-01,14.076731811913193
W0016,2027-02-01,13.731377740612867
W0016,2027-03-01,13.433420486277631
W0016,2027-04-01,13.117985522815697
W0016,2027-05-01,12.826251996882545
W0016,2027-06-01,12.53786335966012
W0016,2027-07-01,12.270629544206576
W0016,2027-08-01,12.005972053055274
W0016,2027-09-01,11.752274579494047
W0016,2027-10-01,11.51657167671354
W0016,2027-11-01,11.282554850614028
W0016,2027-12-01,11.064795796672724
W0016,2028-01-01,10.848268622746868
W0016,2028-02-01,10.639892403741493
W0016,2028-03-01,10.451940868355493
W0016,2028-04-01,10.258094276022964
W0016,2028-05-01,10.077095747376084
W0016,2028-06-01,9.896526029213108
W0016,2028-07-01,9.727719894161025
W0016,2028-08-01,9.559116403259608
W0016,2028-09-01,9.396146244738391
W0016,2028-10-01,9.243536881168454
W0016,2028-11-01,9.090862774237088
W0016,2028-12-01,8.947747999676032
W0016,2029-01-01,8.804430037493328
W0016,2029-02-01,8.665542755407472
W0016,2029-03-01,8.543736996196051
W0016,2029-04-01,8.412736899617702
W0016,2029-05-01,8.289658026631097
W0016,2029-06-01,8.166130774643424
W0016,2029-07-01,8.049976154745984
W0016,2029-08-01,7.933303982101756
W0016,2029-09-01,7.8199003125490965
W0016,2029-10-01,7.713140076782448
W0016,2029-11-01,7.605781917583767
W0016,2029-12-01,7.504639690039454
W0016,2030-01-01,7.402859157312277
W0016,2030-02-01,7.303749118053502
W0016,2030-03-01,7.21643988902278
W0016,2030-04-01,7.122132024688808
W0016,2030-05-01,7.03313852444516
W0016,2030-06-01,6.943440002742738
W0016,2030-07-01,6.8587446577455395
W0016,2030-08-01,6.773327721450817
W0016,2030-09-01,6.689970901365651
W0016,2030-10-01,6.61119558443874
W0016,2030-11-01,6.531682150182597
W0016,2030-12-01,6.456498422922477
W0016,2031-01-01,6.380570216243286
W0016,2031-02-01,6.306372397549355
W0016,2031-03-01,6.240793939049467
W0016,2031-04-01,6.169731060002091
W0016,2031-05-01,6.102454650811338
W0016,2031-06-01,6.0344299110477975
W0016,2031-07-01,5.96999995702763
W0016,2031-08-01,5.904823829156737
