well_id,month,oil_rate_forecast
W0017,2026-09-01,438.32762176057236
W0017,2026-10-01,434.7667234348637
W0017,2026-11-01,431.2430589627435
W0017,2026-12-01,427.97281656055503
W0017,2027-01-01,424.7275483533462
W0017,2027-02-01,421.6089330932362
W0017,2027-03-01,418.89374192624314
W0017,2027-04-01,415.9928893555888
W0017,2027-05-01,413.28439223522577
W0017,2027-06-01,410.58132463878303
W0017,2027-07-01,408.0525222886598
W0017,2027-08-01,405.5240877510686
W0017,2027-09-01,403.0767552591202
W0017,2027-10-01,400.7812590539453
W0017,2027-11-01,398.480447143052
W0017,2027-12-01,396.31911952764335
W0017,2028-01-01,394.1496711160124
W0017,2028-02-01,392.041884247239
W0017,2028-03-01,390.12315347778696
W0017,2028-04-01,388.12609031303725
W0017,2028-05-01,386.24409080661104
W0017,2028-06-01,384.34924285024937
W0017,2028-07-01,382.56160821294094
W0017,2028-08-01,380.75987464196123
W0017,2028-09-01,379.00234269516693
W0017,2028-10-01,377.3417757464989
W0017,2028-11-01,375.66570865770615
W0017,2028-12-01,374.0806902564282
W0017,2029-01-01,372.47949451118745
W0017,2029-02-01,370.9140646788199
W0017,2029-03-01,369.5296853833836
W0017,2029-04-01,368.0284652649543
W0017,2029-05-01,366.60601484186043
W0017,2029-06-01,365.16633117375534
W0017,2029-07-01,363.8012338489677
W0017,2029-08-01,362.4186635466238
W0017,2029-09-01,361.0635682746693
W0017,2029-10-01,359.7774282637145
W0017,2029-11-01,358.4736004061158
W0017,2029-12-01,357.23538291810297
W0017,2030-01-01,355.9794129294487
W0017,2030-02-01,354.7465612377889
W0017,2030-03-01,353.65225583818614
W0017,2030-04-01,352.4613344202374
W0017,2030-05-01,351.32884048614767
W0017,2030-06-01,350.1786295863009
W0017,2030-07-01,349.0843189558029
W0017,2030-08-01,347.9723652014704
W0017,2030-09-01,346.8789811183353
W0017,2030-10-01,345.8380259503205
W0017,2030-11-01,344.7795857840167
W0017,2030-12-01,343.7714728030337
W0017,2031-01-01,342.7460042782409
W0017,2031-02-01,341.736587027755
W0017,2031-03-01,340.8382774647936
W0017,2031-04-01,339.8581825288394
W0017,2031-05-01,338.92379470372305
W0017,2031-06-01,337.9724321293893
W0017,2031-07-01,337.0651145378611
W0017,2031-08-01,336.14099365704027
