well_id,site_id,month,boe_rate,operating_cost,temperature,pressure
W0006,S003,2025-08-01,843.0627333333334,16910.046000000002,188.38460833333332,6121.825524472991
W0006,S003,2025-09-01,846.9267666666667,13433.831,205.06051246706193,6654.630631993851
W0006,S003,2025-10-01,840.4110913978495,13336.688064516129,201.94328825066938,6224.18207312253
W0006,S003,2025-11-01,834.7821805555556,13251.6265,194.3062505873957,6702.025035326087
W0006,S003,2025-12-01,812.8886075268817,12906.958387096774,203.6202515725275,6160.28488370696
W0006,S003,2026-01-01,801.7680430107528,12732.626774193548,199.31686413043477,6170.8412922510515
W0006,S003,2026-02-01,804.6330059523809,12861.21107142857,190.90040016821945,6823.343707609872
W0006,S003,2026-03-01,791.6309166666666,12589.553387096776,200.2733759057971,6243.291274807153
W0006,S003,2026-04-01,781.3363666666667,12454.579,190.3148347826087,6893.210305813571
W0006,S003,2026-05-01,763.9713655913978,12167.659032258065,188.75396768349694,6406.675722262951
W0006,S003,2026-06-01,770.1726166666667,12268.466333333334,189.4976035541753,6011.17085769653
W0006,S003,2026-07-01,750.5055456989247,11972.585322580646,184.7244120420545,6224.445369198649
W0006,S003,2026-08-01,724.650282051282,11709.210384615386,188.05985357441472,6305.255186841239
W0007,S003,2025-08-01,930.8256666666666,18671.396,195.78210398550723,5868.325023484848
W0007,S003,2025-09-01,905.8614277777777,14368.390333333335,204.23759208388228,6246.741248361331
W0007,S003,2025-10-01,891.7267903225807,14125.335645161289,200.96831644460028,6529.065784712483
W0007,S003,2025-11-01,881.8959944444445,13999.053333333333,197.15746684782607,6199.36102637242
W0007,S003,2025-12-01,869.4826639784947,13715.498870967744,200.7961272498831,6586.002684336351
W0007,S003,2026-01-01,854.4003548387096,13568.293548387095,206.13515390050574,6534.143091238472
W0007,S003,2026-02-01,837.1021190476191,13490.242857142857,207.66112013155063,6916.019041790185
W0007,S003,2026-03-01,829.1293817204302,13185.38564516129,191.81720226103957,6409.186636995077
W0007,S003,2026-04-01,821.1410055555556,13097.362333333333,194.78361301602985,6650.596843280632
W0007,S003,2026-05-01,807.950809139785,12867.96322580645,210.23766334098346,6367.597728879787
W0007,S003,2026-06-01,807.3360333333334,12892.023333333334,196.82992927646026,6369.968347252416
W0007,S003,2026-07-01,775.5049758064516,12372.009193548387,212.0313981124357,7075.588690743339
W0007,S003,2026-08-01,772.6336410256409,12481.299615384614,205.88770919479072,6482.364994862927
W0014,S003,2025-08-01,888.8062666666667,17829.366,209.7093652173913,6505.456594927537
W0014,S003,2025-09-01,823.3083222222223,13058.698833333334,212.4793881422925,7008.3552852613875
W0014,S003,2025-10-01,812.6448521505376,12871.69870967742,210.1598791491351,6665.7200493221135
W0014,S003,2025-11-01,810.0414611111112,12858.356,224.17519129885812,6848.230677442907
W0014,S003,2025-12-01,805.5778118279569,12791.856451612903,218.59948872136513,6358.998363851523
W0014,S003,2026-01-01,780.2678548387097,12418.449516129032,212.0449424543724,6480.710676651306
W0014,S003,2026-02-01,767.4909583333334,12335.10142857143,207.32584599390643,6549.670435397257
W0014,S003,2026-03-01,771.9123790322581,12275.099516129032,215.2367676192146,6421.823345108695
W0014,S003,2026-04-01,747.8072888888889,11922.515666666666,220.06427139328062,6292.693111128364
W0014,S003,2026-05-01,737.5485053763441,11743.146774193548,222.4000178670091,6969.979483345021
W0014,S003,2026-06-01,725.6020111111112,11493.286166666667,214.59016334815544,6458.247949245169
W0014,S003,2026-07-01,725.9937634408602,11541.790967741936,230.59638773959793,6881.272135941285
W0014,S003,2026-08-01,701.1569615384615,11330.085000000001,210.23225941268873,6175.131911713286
W0028,S003,2025-08-01,1094.5903999999998,21955.390000000003,179.54002463768114,6188.304435869564
W0028,S003,2025-09-01,1080.0270666666665,17131.586666666666,184.2531226010101,6031.079054561924
W0028,S003,2025-10-01,1071.0222204301076,16964.722903225807,185.85620293573888,6559.352079106027
W0028,S003,2025-11-01,1055.2928111111112,16752.427833333335,179.68963913043478,6098.787404649759
W0028,S003,2025-12-01,1039.3981559139784,16504.68677419355,178.74966022249137,6569.326942804624
W0028,S003,2026-01-01,1035.6668924731182,16446.208387096776,183.24545738503548,6143.021696786413
W0028,S003,2026-02-01,996.7387351190476,15932.929285714286,188.90972947546112,6537.082304606626
W0028,S003,2026-03-01,980.2737365591397,15589.417419354839,180.46678921642288,6433.1811429698455
W0028,S003,2026-04-01,989.6653666666666,15776.427666666666,181.72643849912166,6215.279548331137
W0028,S003,2026-05-01,972.2652580645162,15477.007741935484,184.85976612903227,6629.625658097454
W0028,S003,2026-06-01,965.4824194444444,15419.184333333335,185.20105957400088,6334.048738521081
W0028,S003,2026-07-01,941.1944838709678,15016.65322580645,177.88231549364613,6102.228230943729
W0028,S003,2026-08-01,928.3211891025641,15008.165576923077,191.86921181716832,5990.6403287663425
W0039,S003,2025-08-01,976.5731,19589.326,194.64640434782606,6283.94248152174
W0039,S003,2025-09-01,995.9028694444444,15795.258166666667,205.08738677810715,6152.136683887791
W0039,S003,2025-10-01,975.1662311827957,15446.83193548387,195.24118955597348,6358.485539905542
W0039,S003,2025-11-01,966.1479472222222,15337.4365,201.5589389794686,6328.76383715964
W0039,S003,2025-12-01,934.7771612903226,14808.850806451614,201.92516084937736,6437.169648577287
W0039,S003,2026-01-01,935.0123870967741,14876.12129032258,190.41586442793997,6050.688228808066
W0039,S003,2026-02-01,914.2717797619047,14612.823928571428,191.39113259046206,6407.971423733649
W0039,S003,2026-03-01,917.2177983870968,14588.065161290324,195.55730978109082,6306.630490198266
W0039,S003,2026-04-01,895.0145388888889,14297.638,200.18171037549408,6897.568033141195
W0039,S003,2026-05-01,878.2319704301076,13987.413870967743,192.57963131136046,6129.587379149135
W0039,S003,2026-06-01,870.9956777777777,13910.715333333334,200.03674628623187,6323.269265338165
W0039,S003,2026-07-01,876.1247634408602,13976.787419354838,200.1760645267542,6113.711845400888
W0039,S003,2026-08-01,852.2000128205128,13762.769423076923,197.69012902631786,6144.299071799124
