well_id,month,oil_rate_forecast
W0010,2026-09-01,545.606460003405
W0010,2026-10-01,539.8154551552034
W0010,2026-11-01,533.8959809306425
W0010,2026-12-01,528.2292697914526
W0010,2027-01-01,522.4368474600532
W0010,2027-02-01,516.7079433074131
W0010,2027-03-01,511.5874646355615
W0010,2027-04-01,505.9775319592214
W0010,2027-05-01,500.6071440987415
W0010,2027-06-01,495.11761795379687
W0010,2027-07-01,489.86249599904954
W0010,2027-08-01,484.4907936092928
W0010,2027-09-01,479.17799589351796
W0010,2027-10-01,474.09205529378295
W0010,2027-11-01,468.8932866719333
W0010,2027-12-01,463.9165068182138
W0010,2028-01-01,458.8293213131063
W0010,2028-02-01,453.7979205443104
W0010,2028-03-01,449.14108642486036
W0010,2028-04-01,444.215923594221
W0010,2028-05-01,439.5010664930912
W0010,2028-06-01,434.68161427488707
W0010,2028-07-01,430.0679532585918
W0010,2028-08-01,425.3519420746173
W0010,2028-09-01,420.6876454265601
W0010,2028-10-01,416.22251416842624
W0010,2028-11-01,411.65832842084205
W0010,2028-12-01,407.28903396513846
W0010,2029-01-01,402.82281040685626
W0010,2029-02-01,398.40556227883314
W0010,2029-03-01,394.45743812909103
W0010,2029-04-01,390.13192185906087
W0010,2029-05-01,385.99110625413954
W0010,2029-06-01,381.758430156379
W0010,2029-07-01,377.70648984727245
W0010,2029-08-01,373.56466066847514
W0010,2029-09-01,369.468249119344
W0010,2029-10-01,365.54675540406834
W0010,2029-11-01,361.5382666662862
W0010,2029-12-01,357.7009408890607
W0010,2030-01-01,353.77848728374033
W0010,2030-02-01,349.89904626992103
W0010,2030-03-01,346.4316126295149
W0010,2030-04-01,342.6327349699278
W0010,2030-05-01,338.9960703696473
W0010,2030-06-01,335.2787294395252
W0010,2030-07-01,331.7201194224629
W0010,2030-08-01,328.08256465038124
W0010,2030-09-01,324.48489783730594
W0010,2030-10-01,321.0408523280237
W0010,2030-11-01,317.5204035803042
W0010,2030-12-01,314.15027842505543
W0010,2031-01-01,310.70538989182484
W0010,2031-02-01,307.2982770968018
W0010,2031-03-01,304.2530091104278
W0010,2031-04-01,300.9166509496477
W0010,2031-05-01,297.7227561452239
W0010,2031-06-01,294.4580074839228
W0010,2031-07-01,291.3326639897381
W0010,2031-08-01,288.1379873914497
